File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
sdio_sdcard.o,13.368615%,6593,61,6588,0,5,56
ff.o,11.048928%,5449,6,5308,141,0,6
oled.o,7.638340%,3767,23,1672,2072,23,0
usart_app.o,6.932701%,3419,1347,3230,185,4,1343
mc_w.l,6.904313%,3405,4,3268,133,4,0
ota_uart.o,4.992193%,2462,20524,2462,0,0,20524
mcu_cmic_gd32f470vet6.o,4.781313%,2358,3162,2356,0,2,3160
printfa.o,4.663706%,2300,0,2300,0,0,0
ebtn.o,3.872904%,1910,60,1910,0,0,60
gd25qxx.o,3.497780%,1725,0,1410,315,0,0
ccsbcs.o,2.704950%,1334,0,118,1216,0,0
mf_w.l,2.238579%,1104,0,1104,0,0,0
perf_counter.o,1.727599%,852,36,848,4,0,36
sd_app.o,1.719488%,848,1108,778,70,0,1108
gd32f4xx_rcu.o,1.492386%,736,0,736,0,0,0
gd32f4xx_dma.o,1.297727%,640,0,640,0,0,0
gd32f4xx_sdio.o,1.228785%,606,0,606,0,0,0
system_gd32f4xx.o,1.192287%,588,4,584,0,4,0
gd32f4xx_timer.o,1.086846%,536,0,536,0,0,0
gd32f4xx_adc.o,1.074680%,530,0,530,0,0,0
gd32f4xx_usart.o,1.070625%,528,0,528,0,0,0
gd30ad3344.o,1.009794%,498,2,498,0,0,2
startup_gd32f450_470.o,0.940852%,464,8192,36,428,0,8192
gd32f4xx_i2c.o,0.888132%,438,0,438,0,0,0
gd32f4xx_rtc.o,0.851633%,420,0,420,0,0,0
gd32f4xx_fmc.o,0.827301%,408,0,408,0,0,0
ring_buffer.o,0.746193%,368,0,368,0,0,0
dadd.o,0.677251%,334,0,334,0,0,0
main.o,0.571811%,282,0,282,0,0,0
gd32f4xx_gpio.o,0.571811%,282,0,282,0,0,0
btn_app.o,0.571811%,282,196,268,14,0,196
led_app.o,0.494758%,244,12,242,0,2,10
gd32f4xx_misc.o,0.490703%,242,0,242,0,0,0
gd32f4xx_it.o,0.482592%,238,0,238,0,0,0
dmul.o,0.462315%,228,0,228,0,0,0
ddiv.o,0.450149%,222,0,222,0,0,0
diskio.o,0.429872%,212,0,212,0,0,0
oled_app.o,0.421761%,208,2,186,21,1,1
depilogue.o,0.377152%,186,0,186,0,0,0
scheduler.o,0.373096%,184,193,184,0,0,193
gd32f4xx_dac.o,0.328487%,162,0,162,0,0,0
_strtoul.o,0.320376%,158,0,158,0,0,0
perfc_port_default.o,0.316321%,156,0,156,0,0,0
systick.o,0.287933%,142,4,142,0,0,4
ctype_o.o,0.285905%,141,0,8,133,0,0
strtol.o,0.227102%,112,0,112,0,0,0
gd32f4xx_spi.o,0.206825%,102,0,102,0,0,0
uldiv.o,0.198714%,98,0,98,0,0,0
ldiv.o,0.198714%,98,0,98,0,0,0
dfixul.o,0.097330%,48,0,48,0,0,0
cdrcmple.o,0.097330%,48,0,48,0,0,0
uidiv.o,0.089219%,44,0,44,0,0,0
f2d.o,0.077053%,38,0,38,0,0,0
strstr.o,0.072997%,36,0,36,0,0,0
memseta.o,0.072997%,36,0,36,0,0,0
memcpya.o,0.072997%,36,0,36,0,0,0
llsshr.o,0.072997%,36,0,36,0,0,0
init.o,0.072997%,36,0,36,0,0,0
systick_wrapper_ual.o,0.072997%,36,0,36,0,0,0
llushr.o,0.064886%,32,0,32,0,0,0
cpp_init.o,0.064886%,32,0,32,0,0,0
adc_app.o,0.064886%,32,2,32,0,0,2
llshl.o,0.060831%,30,0,30,0,0,0
handlers.o,0.060831%,30,0,30,0,0,0
_chval.o,0.056776%,28,0,28,0,0,0
memcmp.o,0.052720%,26,0,26,0,0,0
atoi.o,0.052720%,26,0,26,0,0,0
strchr.o,0.040554%,20,0,20,0,0,0
gd32f4xx_pmu.o,0.036499%,18,0,18,0,0,0
strlen.o,0.028388%,14,0,14,0,0,0
errno.o,0.024332%,12,4,8,0,4,0
entry9a.o,0.016222%,8,0,8,0,0,0
entry2.o,0.016222%,8,0,8,0,0,0
entry8a.o,0.008111%,4,0,4,0,0,0
entry5.o,0.008111%,4,0,4,0,0,0
