File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
bl_core.o,19.034216%,3922,4100,3802,120,0,4100
oled.o,18.281971%,3767,23,1672,2072,23,0
mc_w.l,13.346275%,2750,0,2750,0,0,0
printfa.o,11.414705%,2352,0,2352,0,0,0
mf_w.l,5.173501%,1066,0,1066,0,0,0
mcu_cmic_gd32f470vet6.o,4.076680%,840,2564,838,0,2,2562
system_gd32f4xx.o,2.853676%,588,4,584,0,4,0
gd32f4xx_usart.o,2.678962%,552,0,552,0,0,0
gd32f4xx_dma.o,2.271293%,468,0,468,0,0,0
startup_gd32f450_470.o,2.251881%,464,8192,36,428,0,8192
gd32f4xx_i2c.o,2.125698%,438,0,438,0,0,0
gd32f4xx_fmc.o,1.980102%,408,0,408,0,0,0
dadd.o,1.620966%,334,0,334,0,0,0
gd32f4xx_it.o,1.514196%,312,5,312,0,0,5
gd32f4xx_rcu.o,1.397719%,288,0,288,0,0,0
gd32f4xx_gpio.o,1.320068%,272,0,272,0,0,0
gd32f4xx_misc.o,1.174472%,242,0,242,0,0,0
dmul.o,1.106528%,228,0,228,0,0,0
ddiv.o,1.077408%,222,0,222,0,0,0
depilogue.o,0.902694%,186,0,186,0,0,0
usart_app.o,0.795923%,164,259,164,0,0,259
systick.o,0.689153%,142,4,142,0,0,4
uldiv.o,0.475613%,98,0,98,0,0,0
main.o,0.427081%,88,0,88,0,0,0
dfixul.o,0.232953%,48,0,48,0,0,0
cdrcmple.o,0.232953%,48,0,48,0,0,0
uidiv.o,0.213540%,44,0,44,0,0,0
memseta.o,0.174715%,36,0,36,0,0,0
memcpya.o,0.174715%,36,0,36,0,0,0
llsshr.o,0.174715%,36,0,36,0,0,0
init.o,0.174715%,36,0,36,0,0,0
llushr.o,0.155302%,32,0,32,0,0,0
llshl.o,0.145596%,30,0,30,0,0,0
handlers.o,0.145596%,30,0,30,0,0,0
gd32f4xx_pmu.o,0.087357%,18,0,18,0,0,0
entry9a.o,0.038826%,8,0,8,0,0,0
entry2.o,0.038826%,8,0,8,0,0,0
entry5.o,0.019413%,4,0,4,0,0,0
